45 1575623972 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575623973 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575623974 1,600000 -1,000000 -101,000000 0,000000 0,000000
48 1575623972 0,400000 -1,000000 -101,000000 0,000000 0,000000
48 1575623973 0,400000 -1,000000 -101,000000 0,000000 0,000000
48 1575623974 0,400000 -1,000000 -101,000000 0,000000 0,000000
45 1575623975 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575623976 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575623977 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575623978 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575623979 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575623980 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575623981 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624032 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624033 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624034 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575623975 0,400000 -1,000000 -101,000000 0,000000 0,000000
48 1575623976 0,400000 -1,000000 -101,000000 0,000000 0,000000
48 1575623977 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575623978 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575623979 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575623980 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575623981 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575624032 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575624033 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575624034 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624035 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624036 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575624035 0,200000 -1,000000 -101,000000 0,000000 0,000000
48 1575624036 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624092 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575624093 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575624094 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575624095 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575624096 1,600000 -1,000000 -101,000000 0,000000 0,000000
45 1575624097 0,200000 -1,000000 -101,000000 0,000000 0,000000
45 1575624098 0,200000 -1,000000 -101,000000 0,000000 0,000000
