13 1575623967 0,000258 0,200000 0,000258 0,000258 0,000000
13 1575623968 0,000258 0,200000 0,000258 0,000258 0,000000
13 1575623969 0,000258 0,200000 0,000258 0,000258 0,000000
13 1575623970 0,000258 0,200000 0,000258 0,000258 0,000000
13 1575623971 0,000258 0,200000 0,000258 0,000258 0,000000
37 1575623972 0,217538 0,200000 0,217538 0,217538 0,009465
43 1575623972 0,046307 0,200000 0,046307 0,046307 0,000429
28 1575623972 0,045694 0,200000 0,045694 0,045694 0,000418
22 1575623972 0,046104 0,200000 0,046104 0,046104 0,000425
31 1575623972 5,917579 0,200000 5,917579 5,917579 7,003548
34 1575623972 5,172213 0,200000 5,172213 5,172213 5,350358
40 1575623972 0,549336 0,200000 0,549336 0,549336 0,060354
25 1575623972 0,328455 0,200000 0,328455 0,328455 0,021577
37 1575623973 0,217538 0,200000 0,217538 0,217538 0,009465
43 1575623973 0,046307 0,200000 0,046307 0,046307 0,000429
28 1575623973 0,045694 0,200000 0,045694 0,045694 0,000418
22 1575623973 0,046104 0,200000 0,046104 0,046104 0,000425
31 1575623973 5,917579 0,200000 5,917579 5,917579 7,003548
34 1575623973 5,172213 0,200000 5,172213 5,172213 5,350358
40 1575623973 0,549336 0,200000 0,549336 0,549336 0,060354
25 1575623973 0,328455 0,200000 0,328455 0,328455 0,021577
37 1575623974 0,217538 0,200000 0,217538 0,217538 0,009465
43 1575623974 0,046307 0,200000 0,046307 0,046307 0,000429
28 1575623974 0,045694 0,200000 0,045694 0,045694 0,000418
22 1575623974 0,046104 0,200000 0,046104 0,046104 0,000425
31 1575623974 5,917579 0,200000 5,917579 5,917579 7,003548
34 1575623974 5,172213 0,200000 5,172213 5,172213 5,350358
40 1575623974 0,549336 0,200000 0,549336 0,549336 0,060354
25 1575623974 0,328455 0,200000 0,328455 0,328455 0,021577
37 1575623975 0,217538 0,200000 0,217538 0,217538 0,009465
43 1575623975 0,046307 0,200000 0,046307 0,046307 0,000429
28 1575623975 0,045694 0,200000 0,045694 0,045694 0,000418
22 1575623975 0,046104 0,200000 0,046104 0,046104 0,000425
31 1575623975 5,917579 0,200000 5,917579 5,917579 7,003548
34 1575623975 5,172213 0,200000 5,172213 5,172213 5,350358
40 1575623975 0,549336 0,200000 0,549336 0,549336 0,060354
25 1575623975 0,328455 0,200000 0,328455 0,328455 0,021577
37 1575623976 0,217538 0,200000 0,217538 0,217538 0,009465
43 1575623976 0,046307 0,200000 0,046307 0,046307 0,000429
28 1575623976 0,045694 0,200000 0,045694 0,045694 0,000418
22 1575623976 0,046104 0,200000 0,046104 0,046104 0,000425
31 1575623976 5,917579 0,200000 5,917579 5,917579 7,003548
34 1575623976 5,172213 0,200000 5,172213 5,172213 5,350358
40 1575623976 0,549336 0,200000 0,549336 0,549336 0,060354
25 1575623976 0,328455 0,200000 0,328455 0,328455 0,021577
37 1575623982 0,258879 0,200000 0,258879 0,258879 0,013404
43 1575623982 0,047936 0,200000 0,047936 0,047936 0,000460
28 1575623982 0,047153 0,200000 0,047153 0,047153 0,000445
22 1575623982 0,045905 0,200000 0,045905 0,045905 0,000421
58 1575623982 9,208782 0,200000 9,208782 9,208782 16,960335
55 1575623982 7,975254 0,200000 7,975254 7,975254 12,720935
40 1575623982 0,448506 0,200000 0,448506 0,448506 0,040232
25 1575623982 0,333122 0,200000 0,333122 0,333122 0,022194
37 1575623983 0,258879 0,200000 0,258879 0,258879 0,013404
43 1575623983 0,047936 0,200000 0,047936 0,047936 0,000460
28 1575623983 0,047153 0,200000 0,047153 0,047153 0,000445
22 1575623983 0,045905 0,200000 0,045905 0,045905 0,000421
58 1575623983 9,208782 0,200000 9,208782 9,208782 16,960335
55 1575623983 7,975254 0,200000 7,975254 7,975254 12,720935
40 1575623983 0,448506 0,200000 0,448506 0,448506 0,040232
25 1575623983 0,333122 0,200000 0,333122 0,333122 0,022194
37 1575623984 0,258879 0,200000 0,258879 0,258879 0,013404
